Customer_ID,Full_Name,Gender,Age,Email,Phone,City,State,Country,Zip_Code,Join_Date,Customer_Segment,Preferred_Channel,Payment_Preference,Churn_Risk_Score,ARPU
CUST000022,Daniel Ramsey,Female,41,hfrazier@example.com,380.057.3066,Fishershire,North Dakota,USA,33178,2023-06-01,Small Business,Retail,Card,19.0,68.84
CUST000023,Patricia Deleon,Female,44,ltorres@example.org,4917936630,Myerschester,Idaho,USA,23321,2024-08-07,Residential,Web,ACH,40.1,32.46
CUST000024,Susan Le,Female,26,juliehall@example.org,602.480.5804x80067,Lake Karenburgh,Iowa,USA,82112,2023-05-03,Residential,App,Bank Transfer,15.1,56.06
CUST000025,Antonio Phillips MD,Other,52,josebutler@example.net,804-593-2049x7062,Lucasport,Connecticut,USA,10982,2024-04-07,Small Business,Call Center,ACH,52.9,45.35
CUST000026,Morgan Hudson,Male,42,tonya90@example.net,(782)618-8598x83816,West Heatherberg,South Dakota,USA,09999,2022-01-30,Residential,Call Center,Wallet,21.9,36.55
CUST000027,Erin Barber,Other,30,xbaker@example.org,979-050-9931,Haynesburgh,Oregon,USA,05939,2025-10-26,Residential,Web,ACH,1.3,52.86
CUST000028,Ronald Webster,Female,43,ncollins@example.org,+1-958-531-8314x01104,Christinechester,South Carolina,USA,02866,2020-04-20,Small Business,Retail,Wallet,52.3,40.6
CUST000029,Brandon Miller,Other,18,michael51@example.org,(275)210-4920,Annfort,Rhode Island,USA,11277,2023-05-08,Enterprise,Call Center,Bank Transfer,23.0,28.51
CUST000030,Tiffany Graham,Female,72,mary65@example.org,+1-299-362-6726,Moranfurt,Maryland,USA,75208,2023-02-16,Small Business,Call Center,Wallet,3.5,39.24
CUST000031,Charles Anderson,Female,70,christina34@example.org,(997)046-5050,East Christinaborough,New Mexico,USA,89366,2022-12-31,Small Business,Web,Bank Transfer,31.6,18.37
CUST000032,Marissa Rhodes,Other,74,leslie86@example.com,780-995-4351x695,Ronaldfurt,Nebraska,USA,88949,2021-07-15,Residential,Web,Bank Transfer,6.7,63.19
CUST000033,Micheal Bernard,Female,32,shawnhoward@example.net,001-206-979-2364x569,Jeffreyside,New Hampshire,USA,41628,2023-07-06,Enterprise,Web,Wallet,3.1,79.51
CUST000034,Becky Reese,Other,28,jennifercastro@example.org,(744)712-8770x0436,South Sharon,Pennsylvania,USA,09831,2025-06-11,Residential,Web,Wallet,34.5,68.27
CUST000035,William Berg,Male,34,nancy29@example.net,(703)997-6129x01122,South Mitchellville,Oklahoma,USA,03256,2021-10-27,Enterprise,Retail,Card,0.0,45.17
CUST000036,Willie Taylor,Male,18,uscott@example.com,+1-457-315-0346x85874,Soniaburgh,Idaho,USA,42091,2022-09-23,Enterprise,App,Wallet,42.2,65.4
CUST000037,Amanda Cooper,Other,77,cheryl71@example.com,468-152-6470,Smithtown,South Dakota,USA,29592,2025-01-02,Enterprise,App,Card,0.0,78.26
CUST000038,Kendra Peters,Other,47,aguilarapril@example.com,001-700-009-8391x648,West Victoria,Texas,USA,83829,2020-10-17,Small Business,Call Center,ACH,35.0,80.71
CUST000039,Patrick Carter,Female,73,roger07@example.com,+1-533-340-6807,West Ryantown,Pennsylvania,USA,07605,2020-08-02,Residential,Call Center,ACH,22.3,47.62
CUST000040,Jennifer Jackson,Other,20,westveronica@example.net,3140396680,Lake Douglas,Connecticut,USA,44815,2025-06-14,Small Business,Web,Wallet,30.5,30.12
CUST000041,Joseph Russo,Other,64,wilsonshannon@example.org,663.595.0068,Wallacebury,New Hampshire,USA,76317,2024-08-26,Residential,Retail,Bank Transfer,33.4,46.71
CUST000042,Megan Dixon,Other,19,michele95@example.net,001-471-847-5751,East Susan,Connecticut,USA,36442,2022-11-09,Enterprise,App,Wallet,28.0,5.0
CUST000043,Eddie Bond,Male,54,lshaw@example.com,189-807-5781x803,East Christopherfurt,Montana,USA,48507,2024-03-02,Small Business,Retail,Wallet,2.3,65.99
CUST000044,Sarah Brock,Other,67,brookefrost@example.net,(554)870-8706,East Danielport,Idaho,USA,35062,2022-12-25,Residential,Retail,Wallet,24.8,43.53
CUST000045,Jessica George,Male,52,kellyhammond@example.net,357-179-1776,Kellychester,Iowa,USA,05014,2023-08-12,Residential,Retail,ACH,0.2,79.69
CUST000046,Kayla Brewer,Other,58,tylerjimenez@example.net,337-881-6113x09643,Villanuevaburgh,Washington,USA,25379,2024-07-31,Enterprise,Retail,Wallet,35.7,59.92
CUST000047,David Martinez,Other,32,juarezjoshua@example.org,(099)465-7322,Snydermouth,Hawaii,USA,18650,2024-08-03,Small Business,App,ACH,3.1,47.35
CUST000048,Jesse Cooper II,Male,24,greenmichael@example.com,+1-439-861-5666x3354,East Brandi,Nevada,USA,33379,2024-03-07,Small Business,App,Bank Transfer,54.0,63.02
CUST000049,Joyce Graham,Other,72,fhaley@example.org,490-010-1743x42191,Port Karenmouth,Pennsylvania,USA,04510,2025-06-22,Residential,Call Center,Bank Transfer,19.8,41.95
CUST000050,Charles Griffin,Other,43,benjaminroger@example.org,278.258.8038x3902,Michaeltown,Kansas,USA,06462,2023-10-05,Residential,Call Center,ACH,60.4,36.51
CUST000051,Mary Gilmore,Other,20,kristenmiller@example.com,001-651-445-6210x3380,North Ronald,Tennessee,USA,61716,2025-04-21,Residential,Call Center,ACH,71.8,25.71
CUST000052,Stephanie Riley,Female,73,blawrence@example.com,992-185-9714x86798,Lake David,North Dakota,USA,28568,2025-03-12,Small Business,Call Center,Bank Transfer,41.0,50.72
CUST000053,Jesse Cardenas,Male,54,joseph14@example.com,(147)541-7194x995,Jacksonborough,Rhode Island,USA,73510,2022-03-28,Residential,Call Center,Card,82.3,54.76
CUST000054,Michael Anthony,Female,39,bellbianca@example.com,+1-737-007-1951x3458,Leeside,Maryland,USA,98741,2022-12-02,Small Business,App,Bank Transfer,22.4,60.38
CUST000055,Danielle Boyd,Male,50,lflores@example.com,4748499584,Williamfurt,Idaho,USA,39841,2020-02-06,Residential,Call Center,Bank Transfer,0.0,19.27
CUST000056,Melissa Martin,Female,26,woodwardnicole@example.org,598-801-4978x57630,South Richard,Ohio,USA,54773,2025-01-29,Small Business,Call Center,Wallet,7.8,52.99
CUST000057,Debbie Orr,Male,18,mary16@example.org,4608971427,Michelleburgh,Wyoming,USA,07049,2022-11-29,Small Business,Call Center,Bank Transfer,14.5,37.15
CUST000058,Mary Higgins,Female,73,dpearson@example.org,+1-550-453-1698x9296,South Christie,Kentucky,USA,06006,2021-10-07,Small Business,Call Center,Bank Transfer,35.5,95.24
CUST000059,Rodney Thompson,Male,26,epatrick@example.net,214.369.3650x832,West Melissa,Maine,USA,87561,2020-04-09,Enterprise,Web,Card,23.8,49.28
CUST000060,Mary Allen,Other,36,tarascott@example.net,149-210-0532x00675,Ericfort,Georgia,USA,90698,2024-04-10,Small Business,Retail,Wallet,4.6,68.97
CUST000061,Gregory Bell,Male,34,david74@example.org,787.404.8493,Brayview,Maryland,USA,73066,2025-10-28,Enterprise,Web,Wallet,2.0,53.73
CUST000062,Lauren Dixon,Male,65,cassandrarojas@example.org,806-954-7438x96807,Amberhaven,North Dakota,USA,16318,2022-01-09,Small Business,Retail,Wallet,42.8,61.86
CUST000063,Michael Murphy,Female,25,christiancontreras@example.org,988-757-2830,Rachaelview,Iowa,USA,21099,2023-10-07,Small Business,App,ACH,56.9,74.95
CUST000064,Matthew Henson,Female,71,crawfordryan@example.org,(466)182-5854,West Ross,Utah,USA,38791,2021-11-17,Residential,Retail,Card,33.8,31.03
CUST000065,Kim Davis,Male,66,kellerandrea@example.org,+1-634-629-1793x71614,North Emma,North Carolina,USA,69694,2023-01-28,Small Business,Retail,Bank Transfer,86.5,37.5
CUST000066,Michael Hunt,Other,19,cjohnson@example.net,766-464-9422,Larryborough,North Dakota,USA,67653,2024-08-19,Residential,Retail,Bank Transfer,79.7,45.58
CUST000067,Peggy Salazar,Female,43,wilsonjon@example.com,(460)544-2200x9004,Tracyview,Minnesota,USA,48991,2020-03-13,Small Business,Web,ACH,36.0,31.58
CUST000068,Ariel Boone,Female,50,bmorris@example.net,001-993-902-2864x089,North Denise,Michigan,USA,57451,2024-09-23,Small Business,Retail,ACH,57.1,34.87
CUST000069,Shannon Hensley,Female,74,edickson@example.org,115-849-4718,Deniseland,Kentucky,USA,20006,2020-03-10,Small Business,App,Bank Transfer,23.2,69.97
CUST000070,Ms. Allison Watson MD,Male,74,tfox@example.org,1753252007,New Jeremyview,Maine,USA,22571,2022-05-07,Enterprise,App,Bank Transfer,21.2,49.07
CUST000071,Alicia Bryant,Other,42,andersonheather@example.com,001-077-653-9235x91245,Butlerport,Maine,USA,52719,2020-10-23,Small Business,Retail,Card,37.6,12.69
CUST000072,Edward Carroll,Female,64,dawn63@example.net,001-369-348-5532x5438,West Ashley,California,USA,81526,2020-05-15,Enterprise,Call Center,Card,27.3,68.45
CUST000073,Rose Jones,Other,79,ronnieshepherd@example.net,526-891-4150x29452,Lake John,New Jersey,USA,42049,2025-10-21,Small Business,App,Card,47.6,34.37
CUST000074,Peggy Walker,Male,57,myersbianca@example.net,+1-117-208-7824x748,Jessicaborough,Mississippi,USA,49534,2022-01-17,Small Business,Web,Wallet,43.9,26.4
CUST000075,Ashley Ferguson,Female,65,dgray@example.org,800.396.3611x014,East Allisonside,Rhode Island,USA,54962,2025-02-22,Enterprise,Call Center,Card,28.3,65.72
CUST000076,Carolyn Garcia,Other,22,markmoore@example.net,236-903-1307x928,Watkinsport,Oregon,USA,76689,2023-08-28,Enterprise,Web,Wallet,0.0,20.23
CUST000077,Cynthia Adams,Male,79,millercynthia@example.com,(491)472-8728x45545,East Kimberly,Indiana,USA,58101,2025-08-08,Residential,Call Center,Wallet,11.0,54.72
CUST000078,Amy Gallagher,Female,28,xnunez@example.net,(975)273-6830x2571,Penningtonside,Florida,USA,50939,2024-09-12,Enterprise,Web,ACH,75.7,10.26
CUST000079,Carol Fisher,Other,41,lisacastaneda@example.org,+1-507-642-7312x8538,Andersonmouth,Connecticut,USA,64198,2022-01-18,Enterprise,Call Center,Bank Transfer,63.7,71.71
CUST000080,Melissa Parker,Other,41,connie90@example.net,+1-011-253-5285x1882,Warrenside,Maryland,USA,06808,2021-02-14,Enterprise,Retail,Card,56.1,61.49
CUST000081,Kyle Rowland,Other,23,michael04@example.com,001-049-482-9720x19143,Nelsonville,Vermont,USA,27992,2023-09-15,Small Business,Web,Card,0.0,49.4
CUST000082,Alexis Lewis,Other,44,billy36@example.org,120-666-6368,Harrellberg,Georgia,USA,28117,2020-02-13,Enterprise,Web,ACH,56.7,51.21
CUST000083,Donna Davis,Other,26,blakebrandon@example.net,(641)444-3081,North Yvonne,Arkansas,USA,58961,2022-01-03,Enterprise,App,Wallet,52.8,51.09
CUST000084,Michael Brown,Male,18,dunlapbrittney@example.org,+1-516-923-5390x163,Michelleton,Alabama,USA,22986,2020-05-12,Enterprise,Call Center,Bank Transfer,13.7,36.98
CUST000085,Leslie Simpson,Female,69,gbrown@example.com,(417)481-6362x458,Ortizbury,Delaware,USA,53945,2022-09-25,Enterprise,Web,Card,30.6,41.37
CUST000086,Erin Mitchell,Female,23,longjustin@example.net,248-943-1197x30707,Port Danielshire,Montana,USA,67054,2023-11-15,Residential,Web,ACH,14.5,11.65
CUST000087,Amber Lambert,Other,70,travishouse@example.net,001-426-584-7978x62687,North Kathrynmouth,Ohio,USA,04861,2022-06-12,Residential,App,Wallet,19.5,59.71
CUST000088,Bruce Harvey,Male,64,linda75@example.org,886-996-4579,East Michaelfort,Arkansas,USA,42878,2020-05-07,Small Business,Retail,Card,42.6,59.03
CUST000089,Steve Hernandez,Other,74,jeffreysantos@example.net,798.701.0252x821,Diazburgh,Connecticut,USA,55833,2021-10-11,Small Business,App,Card,11.2,27.62
CUST000090,Cindy Lewis,Other,78,robert45@example.net,(064)335-9652,Debraside,California,USA,22365,2024-01-14,Small Business,Retail,Bank Transfer,14.7,53.33
CUST000091,Kevin Wilkins,Other,20,vserrano@example.org,+1-953-987-9593,Thomasburgh,Tennessee,USA,54706,2021-12-02,Enterprise,Retail,ACH,8.5,54.68
CUST000092,Trevor Murray,Female,29,henry18@example.com,001-024-087-6391x930,Oliverside,Georgia,USA,01919,2025-05-03,Residential,Call Center,Bank Transfer,10.4,62.11
CUST000093,Jessica Hudson,Male,22,jonesbreanna@example.net,+1-974-570-7019x511,Thorntonside,West Virginia,USA,53178,2022-12-05,Small Business,Retail,ACH,23.7,60.5
CUST000094,Kimberly Murphy,Male,46,richard89@example.net,967.627.1110x48395,Port Tim,Pennsylvania,USA,37240,2024-09-14,Enterprise,Web,Card,59.2,12.57
CUST000095,Candace Wright DVM,Female,61,henrylaura@example.org,299-836-4194x8885,South Charlotte,Ohio,USA,50248,2023-06-09,Enterprise,App,Wallet,0.2,49.54
CUST000096,Cristina Shea,Female,42,davidrodriguez@example.com,+1-685-148-4545x54764,Santosside,Nevada,USA,73720,2024-04-23,Residential,Web,Wallet,23.3,91.53
CUST000097,Robert Silva,Female,70,nkramer@example.net,(273)638-3850x0597,Natalieport,Wyoming,USA,70635,2023-07-15,Small Business,App,Wallet,14.4,55.91
CUST000098,John Rodriguez,Other,55,nancymontoya@example.org,(069)464-1843,North Jessicaborough,Indiana,USA,12848,2023-02-28,Small Business,Retail,ACH,18.4,5.0
CUST000099,Samuel Lewis,Other,32,robert79@example.org,+1-602-594-0058x1280,South Jessicashire,Kentucky,USA,45347,2022-04-02,Small Business,Web,ACH,14.8,8.06
CUST000100,Jeremy Nelson,Male,55,ericrodriguez@example.net,241.077.7259x10429,Brookschester,Kansas,USA,72637,2021-06-27,Small Business,App,Wallet,0.0,77.1
CUST000101,Richard Bond,Male,51,bradfordlori@example.net,+1-833-841-2387,Jameshaven,Wyoming,USA,13101,2024-12-15,Small Business,Retail,Wallet,38.0,38.51
CUST000102,Troy Obrien,Female,57,cshields@example.net,001-259-142-4757x54575,Lake Kennethside,Indiana,USA,61696,2025-01-15,Enterprise,Retail,ACH,31.3,23.15
CUST000103,Chelsea Christensen,Female,70,howardsandra@example.org,395-308-7926x7437,Bradshawfort,Tennessee,USA,04044,2020-07-14,Enterprise,App,Bank Transfer,8.7,19.36
CUST000104,Brian Scott,Female,59,moorecolin@example.com,896-097-3896x90862,Joshuabury,Maryland,USA,57742,2020-10-18,Residential,Call Center,Wallet,52.2,76.68
CUST000105,Jared Webb,Male,37,thompsonnatalie@example.org,3577843603,South Matthew,Rhode Island,USA,89005,2024-11-19,Residential,App,ACH,44.1,49.8
CUST000106,Michael Morris,Female,65,rbarton@example.org,001-591-786-8144x173,West Justinhaven,Oklahoma,USA,53827,2020-08-09,Residential,Web,ACH,77.0,78.0
CUST000107,Kenneth James,Female,68,nicholsmiguel@example.com,597-613-8072,Raymondview,Virginia,USA,70154,2020-03-27,Enterprise,Call Center,ACH,32.5,31.65
CUST000108,Crystal Castro,Male,18,michael69@example.com,770-203-9469x1371,East Aaronchester,Pennsylvania,USA,77812,2024-10-01,Residential,Call Center,ACH,46.6,43.0
CUST000109,Joann Carr,Other,74,qmolina@example.com,910-102-8858x3973,New Michelle,West Virginia,USA,62302,2023-07-08,Enterprise,App,Wallet,34.7,61.25
CUST000110,Jonathan Dean,Female,53,davidjohnson@example.net,788.503.2950,Wrightport,New Jersey,USA,49584,2025-07-15,Enterprise,Retail,Bank Transfer,27.9,94.99
CUST000111,John Brown,Female,72,ywiggins@example.com,+1-276-517-2711,Randallberg,Maryland,USA,17329,2020-03-26,Residential,Call Center,Wallet,43.3,12.95
CUST000112,Cristina Martin,Other,72,susanmccoy@example.net,001-267-298-0154x42717,Lake Jasonside,South Dakota,USA,80034,2024-11-26,Small Business,App,Card,30.8,28.3
CUST000113,Steven Terry,Female,41,aguilarmichelle@example.net,+1-184-198-0066x86462,Phillipsfurt,Montana,USA,63166,2021-07-12,Residential,App,Card,23.8,98.11
CUST000114,Abigail King,Other,19,scottcruz@example.net,332-488-9321x32600,New Timothy,Massachusetts,USA,81767,2022-06-28,Small Business,Web,Card,5.0,40.27
CUST000115,Kevin Mullins,Other,36,robert05@example.org,001-858-071-6472,Tylertown,West Virginia,USA,53079,2024-01-30,Residential,Web,Bank Transfer,36.8,46.78
CUST000116,Dennis Moore,Female,55,susan17@example.com,(342)565-2010x09186,Saraborough,South Dakota,USA,20861,2024-04-25,Enterprise,Retail,Wallet,0.0,43.66
CUST000117,Christopher Wiggins,Female,69,lindsay08@example.net,001-903-982-5527x00855,North Kelly,New York,USA,69636,2020-09-15,Enterprise,Call Center,ACH,29.4,28.42
CUST000118,Elizabeth Vasquez,Other,35,tmartinez@example.com,001-480-478-4470x609,Lake Sherryhaven,Nebraska,USA,26721,2020-06-02,Residential,Retail,Bank Transfer,0.0,65.76
CUST000119,Brian Burgess,Male,77,burtonsarah@example.net,244.055.0332,Stacyside,Virginia,USA,48781,2023-01-21,Small Business,Web,ACH,18.3,28.08
CUST000120,Jennifer Sheppard,Female,78,vargaswayne@example.com,+1-111-940-9051,North Lydialand,Arizona,USA,54869,2024-11-09,Residential,Web,ACH,56.5,45.0
CUST000121,William Harrison,Other,35,gsmith@example.net,157-942-9223,Scotttown,North Dakota,USA,79906,2020-12-27,Residential,Web,Bank Transfer,41.0,35.35
CUST000122,Tammy Marsh,Male,77,pbridges@example.com,(287)272-1158x429,New Jacobbury,New Jersey,USA,22489,2022-12-10,Enterprise,App,Card,36.8,71.44
CUST000123,Stanley Rodgers,Male,68,caitlin85@example.com,652-579-7915x8420,Holdenton,South Carolina,USA,65190,2021-08-08,Small Business,Web,Card,6.0,83.79
CUST000124,Jamie Fernandez,Other,57,stanley76@example.com,001-783-051-2011x42210,North Jennifer,Tennessee,USA,25607,2020-05-09,Enterprise,Retail,Wallet,13.5,56.49
CUST000125,Jasmin Jackson,Other,73,brandymiller@example.com,4195846078,North Clarence,Kansas,USA,43856,2023-10-14,Residential,App,ACH,49.3,52.85
CUST000126,Mr. Matthew Lee III,Other,28,lynchalyssa@example.com,721.315.5141x773,North Timothy,Massachusetts,USA,19813,2024-12-26,Enterprise,Call Center,Wallet,59.3,39.34
CUST000127,Amanda Morales,Female,35,dsmith@example.com,+1-971-589-0735x728,North Matthew,Alaska,USA,23760,2023-03-19,Small Business,App,Wallet,48.3,60.4
CUST000128,Robin Miller,Female,64,fparker@example.com,395-259-6030,South Jacobville,New Hampshire,USA,51911,2021-03-07,Small Business,Web,Wallet,43.9,77.47
CUST000129,Tricia Harrell,Female,35,dvargas@example.com,+1-356-240-2513,East Michelleburgh,Nevada,USA,38760,2025-02-08,Enterprise,Web,Card,16.1,37.46
CUST000130,Aaron Chapman,Male,39,ycampos@example.org,2277362931,East William,New Jersey,USA,35792,2023-08-14,Residential,Web,Bank Transfer,20.9,43.22
CUST000131,Christopher Miller,Male,68,donaldfernandez@example.com,338-640-5211x9135,South Ashley,Florida,USA,05273,2021-01-04,Small Business,Call Center,Wallet,13.8,56.97
CUST000132,Jennifer Ruiz,Female,24,johnsonanthony@example.net,699-185-0107,Sharptown,Ohio,USA,29515,2022-03-16,Small Business,Retail,Wallet,60.0,5.0
CUST000133,Sean Castro,Male,22,baileyhunter@example.net,857-594-1791x855,Lake Andreahaven,Wisconsin,USA,17708,2025-10-06,Residential,Web,ACH,5.7,47.65
CUST000134,Brittany Bailey,Female,18,sara36@example.org,(090)262-0191x22993,Andrewtown,Oregon,USA,09674,2021-03-31,Small Business,App,Bank Transfer,40.0,37.3
CUST000135,Joseph Nicholson,Female,30,teresaadams@example.org,940-633-2884x446,Brendamouth,Georgia,USA,77143,2020-10-14,Residential,Retail,Wallet,37.9,43.62
CUST000136,James Williams,Female,28,moniqueperry@example.com,853-180-7677x137,Elijahmouth,Mississippi,USA,40328,2025-03-04,Residential,App,Wallet,52.5,64.41
CUST000137,Karina Bradford,Female,59,andrewking@example.net,(012)499-2525x1804,Lake Alexandra,New Hampshire,USA,63171,2024-09-14,Small Business,Call Center,Bank Transfer,53.8,50.23
CUST000138,Lauren Morales,Female,19,abyrd@example.com,743-499-7318x1864,Lake Heatherville,Texas,USA,09417,2025-08-02,Enterprise,Retail,Bank Transfer,71.1,25.43
CUST000139,Dean House,Other,41,christopherlopez@example.net,+1-239-854-7435x2938,East John,Nevada,USA,12344,2021-02-25,Enterprise,Retail,Card,33.9,37.64
CUST000140,Mike Sherman,Male,52,djones@example.net,557-901-1783,Jacksonhaven,Florida,USA,93184,2024-05-05,Residential,Retail,Bank Transfer,31.3,87.74
CUST000141,Kristin Lara,Other,66,theresasanchez@example.com,925.944.2113x55198,North Karlabury,New Jersey,USA,25704,2022-10-08,Residential,Call Center,Wallet,28.8,41.87
CUST000142,Michael Williams,Other,71,dennisburton@example.org,355-813-9414,North David,New York,USA,86827,2021-06-16,Residential,Call Center,ACH,14.8,38.01
CUST000143,Melissa Brown,Male,63,camachostacy@example.net,289.772.1429x150,New Elizabeth,New York,USA,82641,2021-11-22,Residential,Retail,Wallet,9.5,39.01
CUST000144,Debra Cooper,Female,40,qwilliams@example.com,001-067-690-5375x8626,Port Kathrynside,Iowa,USA,09340,2025-07-15,Enterprise,Retail,Card,24.0,55.81
CUST000145,Angela Peterson,Other,19,whitedanielle@example.net,+1-749-963-8964x17643,Joneshaven,Kentucky,USA,90847,2024-01-17,Enterprise,Call Center,Bank Transfer,39.7,18.22
CUST000146,Emily Knox,Male,72,joe32@example.net,1074186719,South Robert,Connecticut,USA,65448,2024-05-21,Small Business,App,Bank Transfer,11.0,67.37
CUST000147,Ruben Davenport,Female,63,theresa70@example.net,(120)707-6420,Maryville,New Jersey,USA,54584,2022-11-13,Small Business,Call Center,ACH,37.1,53.19
CUST000148,Seth Haynes MD,Other,42,bishopwilliam@example.net,+1-973-425-3138x3593,South Austinside,Louisiana,USA,71301,2022-10-12,Enterprise,Call Center,Wallet,37.8,42.94
CUST000149,Chad Newman,Male,71,kendramorgan@example.net,484.492.5305,Jessicaton,Michigan,USA,20682,2020-08-11,Small Business,App,Wallet,33.5,47.38
CUST000150,Richard Dennis,Female,69,beanthomas@example.com,+1-348-138-0564,Maryside,Illinois,USA,19765,2022-02-02,Small Business,Call Center,Card,27.4,37.47
CUST000151,John Weeks,Male,35,rebekahanderson@example.net,7395871317,Carolinefort,West Virginia,USA,31179,2021-07-27,Small Business,App,ACH,21.4,48.01
CUST000152,Bryan Kelly,Male,36,piercetanya@example.com,410-715-5106,North Sarah,Missouri,USA,32089,2021-11-05,Enterprise,Call Center,Card,27.8,14.02
CUST000153,Sandra Porter,Male,59,gcalhoun@example.com,0390770310,New Robert,Ohio,USA,19042,2025-08-12,Residential,Call Center,Wallet,26.6,42.04
CUST000154,Janice Quinn,Female,73,sandrathomas@example.net,683-030-9707,Millerfurt,Nebraska,USA,36412,2022-08-20,Small Business,Retail,Card,58.8,39.71
CUST000155,Donna Bradley,Male,47,danielkim@example.org,+1-160-447-0939x8994,Sylviaview,Virginia,USA,77271,2024-05-24,Residential,Call Center,ACH,44.7,51.39
CUST000156,Michael Ryan,Male,53,prodgers@example.com,575.931.0009,Christophermouth,Oregon,USA,33892,2020-05-10,Small Business,Web,Bank Transfer,42.4,23.68
CUST000157,Michelle Roberts,Other,34,thomas69@example.com,(415)850-9194x712,Douglasville,Nevada,USA,42435,2025-03-27,Residential,Call Center,ACH,25.5,26.82
CUST000158,Kimberly Hickman,Other,52,nathaniel59@example.org,451-783-4349x2327,North Katelynland,North Dakota,USA,66601,2024-11-21,Enterprise,Retail,Card,60.4,43.23
CUST000159,Todd Holland,Female,26,ellen81@example.net,001-178-686-6282x26621,Blairville,Alaska,USA,41713,2024-01-06,Enterprise,Call Center,ACH,0.0,60.82
CUST000160,Yvette Spears,Other,67,michellezimmerman@example.com,(138)645-4223,Martinezside,South Dakota,USA,75549,2022-10-11,Enterprise,App,ACH,47.2,5.0
CUST000161,Joseph Hernandez,Male,55,gthompson@example.org,001-232-636-2175x78357,Amandaport,Maine,USA,97338,2023-01-27,Small Business,App,Wallet,46.0,39.51
